ProjectType,PlaceName,Latitude,Longitude,ProjectDescription,Project URL
LargeWoodyDebris,Dakota Creek,48.959,-122.6682,Installed 5 Large Woody Debris,
LargeWoodyDebris,Bertrand Creek,48.965408,-122.50964,Large Woody Debris Placement,
FishPassageBarrier,Tenmile Creek,48.863199,-122.434536,Channel relocation and Large Woody Debris placement,
FishPassageBarrier,Nooksack Tributary,48.87928,-122.55587,Replaced barrier culvert with 25' x 14' bridge,
FishPassageBarrier,McClellan Creek,48.95692,-122.53088,Replaced barrier culvert with 40'x14' bridge,
FishPassageBarrier,Johnson Creek,48.978283,-122.323071,Replace barrier culvert with 45'x14' bridge,
FishPassageBarrier,Double Ditch Creek,48.997855,-122.47383,Replaced barrier culvert with 35' x16' bridge,
LargeWoodyDebris,California Estuary,48.960627,-122.735258,Large Woody Debris placement,
FishPassageBarrier,Friday Tributary,48.668039,-122.427016,Replaced barrier culvert with 25'x8' culvert,
LargeWoodyDebris,Goodwin Creek,48.893027,-122.284633,Large Woody Debris placement,
FishPassageBarrier,Butler Creek Tributary,48.874864,-122.682888,Replaced of barrier culvert with 20'x12' bridge,
LargeWoodyDebris,Squalicum Creek,48.793763,-122.433089,Large Woody Debris placement,
LargeWoodyDebris,Squalicum Creek,48.795727,-122.429629,Large Woody Debris placement,
FishPassageBarrier,Scott Creek,48.919617,-122.40881,Replaced barrier culvert with 40'x16' bridge,
FishPassageBarrier,Kam Creek,48.96531,-122.38837,Replaced barrier culvert with a 8'x30' culvert. Regraded 50' of channel ,
FishPassageBarrier,Deer Creek,48.844463,122.4891739,"Replaced barrier culvert with 40'x14' bridge. Regraded 120' of channel, Installed Large Woody Debris",
FishPassageBarrier,Squalicum Tributary,48.794688,-122.3525203,"Replaced barrier culvert with 20'x14' bridge, regraded 40' of channel",
FishPassageBarrier,Squalicum Tributary,48.794688,-122.3525203,Replaced barrier culvert with 20'x14' bridge. Regraded 40' of channel,
FishPassageBarrier,California Tributary,48.915811,-122.688694,Replaced barrier culvert with 35'x14' bridge. Regraded 100 ' of channel. Installed Large Woody Debris,
FishPassageBarrier,High Creek,48.916534,122.1045761,Replaced barrier culvert with 45'x16' bridge. Regraded 200' of Channel. Installed Large Woody Debris,
FishPassageBarrier,High Creek,48.916214,-122.10645,Replaced barrier culvert with 50'x14' bridge. Regraded 600' of channel. Installed Large Woody Debris,
FishPassageBarrier,High Creek,48.916267,-122.109399,Removed barrier culvert. Regraded 100' of channel. Installed Large Woody Debris,
FishPassageBarrier,High Creek,48.916662,-122.110988,Retrofitted barrier culvert. Regraded 200' of channel. Installed Large Woody Debris,
FishPassageBarrier,California Tributary,48.882719,-122.601821,Replaced barrier culvert with 30'x12' bridge,
FishPassageBarrier,Dakota Creek,48.966833,-122.728121,"Replaced 2 culverts with 35x12' bridges, replaced 1 culvert with 25'x8' culvert",
FishPassageBarrier,Deer Creek,48.83888,-122.514961,Replaced barrier culvert with 40'x16' bridge,
LargeWoodyDebris,Fishtrap Creek,48.959338,-122.432821,Large Woody Debris placement,
LargeWoodyDebris,Fishtrap Creek,48.958098,-122.434623,Large Woody Debris placement,
FishPassageBarrier,Friday Tributary,48.668039,-122.427016,"Replaced 3 barrier culverts with 25'x8' culverts, Replaced 1 barrier culvert with 30'x12' bridge",
